"5","Faculty"
"7","Faculty_adj"
"22","Faculty_eme"
"29","Faculty_adj"
"40","Faculty"
"46","Faculty"
"52","Faculty"
"57","Faculty"
"64","Faculty"
"72","Faculty"
"79","Faculty"
"82","Faculty"
"98","Faculty"
"101","Faculty"
"103","Faculty_aff"
"104","Faculty"
"107","Faculty"
"111","Faculty_adj"
"115","Faculty"
"124","Faculty"
"150","Faculty"
"165","Faculty"
"166","Faculty"
"168","Faculty"
"171","Faculty"
"179","Faculty"
"180","Faculty"
"181","Faculty"
"185","Faculty_adj"
"189","Faculty_adj"
"201","Faculty"
"211","Faculty"
"213","Faculty"
"231","Faculty"
"234","Faculty"
"235","Faculty"
"240","Faculty"
"248","Faculty"
"267","Faculty"
"279","Faculty"
"290","Faculty"
"292","Faculty_aff"
"293","Faculty_aff"
"297","Faculty_eme"
"298","Faculty"
"319","Faculty"
"324","Faculty"
"326","Faculty"
"331","Faculty"
"335","Faculty"
"342","Faculty"
"349","Faculty_adj"
"351","Faculty"
"364","Faculty"
"370","Faculty"
"373","Faculty"
"375","Faculty_eme"
"378","Faculty"
"393","Faculty"
"394","Faculty"
"407","Faculty"
"415","Faculty"
